Associated Company (Primary),Amount,Deal Type,Deal Stage,Deal probability,Deal Score,Is Closed Won,Is closed lost,Is Closed (numeric),Is Deal Closed?,Is Open (numeric),Contract End Date,Close Date,Last Activity Date,Days to close,Recency_Days
Associated_52315b4e,50000.0,New,Closed Lost,0.0,,False,True,1.0,True,0.0,,2024-09-23 07:49:00,2024-07-18 16:03:00,160.0,270.0
Associated_607c4efa,5000.0,New,Closed Lost,0.0,,False,True,1.0,True,0.0,,2025-01-14 13:52:00,2024-10-02 15:20:00,281.0,194.0
Associated_a69832eb,0.0,New,Partner Referrals ,0.05,9.0,False,False,0.0,False,1.0,,,2025-02-14 09:47:00,0.0,59.0
Associated_5a810603,0.0,New,Partner Referrals ,0.05,13.0,False,False,0.0,False,1.0,,,2025-02-14 09:47:00,0.0,59.0
Associated_eae106ca,0.0,New,Partner Referrals ,0.05,3.0,False,False,0.0,False,1.0,,,2024-04-18 13:30:00,0.0,361.0
Associated_50250c68,0.0,New,Partner Referrals ,0.05,5.0,False,False,0.0,False,1.0,,,2024-04-18 11:03:00,0.0,361.0
Associated_911ca522,0.0,New,Partner Referrals ,0.05,6.0,False,False,0.0,False,1.0,,,2025-02-03 09:31:00,0.0,70.0
Associated_fd71b936,0.0,New,Closed Lost,0.0,,False,True,1.0,True,0.0,,2024-08-13 10:24:00,2024-08-05 17:14:00,137.0,252.0
Associated_ae442107,12600.0,New,Closed Lost,0.0,,False,True,1.0,True,0.0,,2024-07-25 09:29:00,2024-05-23 15:24:00,120.0,326.0
Associated_f598d976,9000.0,New,Closed Lost,0.0,,False,True,1.0,True,0.0,,2024-07-19 09:39:00,2024-04-02 16:30:00,114.0,377.0
Associated_9ef23a44,0.0,New,Partner Referrals ,0.05,5.0,False,False,0.0,False,1.0,,,2024-12-17 13:00:00,0.0,118.0
Associated_3e7baa07,0.0,New,Partner Referrals ,0.05,8.0,False,False,0.0,False,1.0,,,2024-05-20 12:47:00,0.0,329.0
Associated_8493a0e2,0.0,New,Partner Referrals ,0.05,26.0,False,False,0.0,False,1.0,,,2025-02-14 09:47:00,0.0,59.0
Associated_7d6ee60e,0.0,New,Partner Referrals ,0.05,10.0,False,False,0.0,False,1.0,,,2024-10-30 11:22:00,0.0,166.0
Associated_f14fd4e7,0.0,New,Partner Referrals ,0.05,8.0,False,False,0.0,False,1.0,,,2024-05-20 12:47:00,0.0,329.0
Associated_66646422,0.0,New,Partner Referrals ,0.05,8.0,False,False,0.0,False,1.0,,,2024-05-20 12:47:00,0.0,329.0
Associated_fd4acbcd,0.0,New,Partner Referrals ,0.05,7.0,False,False,0.0,False,1.0,,,2024-10-01 23:25:00,0.0,195.0
Associated_c8b921ba,0.0,New,Partner Referrals ,0.05,5.0,False,False,0.0,False,1.0,,,2024-10-01 23:26:00,0.0,195.0
Associated_fab5ca2f,0.0,New,Partner Referrals ,0.05,10.0,False,False,0.0,False,1.0,,,2024-10-01 23:27:00,0.0,195.0
Associated_5bb0a12e,0.0,New,Partner Referrals ,0.05,11.0,False,False,0.0,False,1.0,,,,0.0,
Associated_020b1bbc,0.0,New,Partner Referrals ,0.05,7.0,False,False,0.0,False,1.0,,,2024-04-18 13:42:00,0.0,361.0
Associated_d29e78a9,30000.0,New,Closed Won,1.0,,True,False,1.0,True,0.0,,2024-10-02 12:23:00,2025-01-01 09:00:00,194.0,103.0
Associated_bf108509,0.0,New,Partner Referrals ,0.05,5.0,False,False,0.0,False,1.0,,,2024-05-06 10:55:00,0.0,343.0
Associated_c513b963,0.0,New,Partner Referrals ,0.05,15.0,False,False,0.0,False,1.0,,,,0.0,
Associated_0c8dc9ce,0.0,New,Partner Referrals ,0.05,15.0,False,False,0.0,False,1.0,,,2025-01-15 16:39:00,0.0,89.0
Associated_a41393e8,58000.0,Growth,Closed Lost,0.0,,False,True,1.0,True,0.0,2025-05-31,2024-10-18 11:35:00,2024-07-02 11:30:00,210.0,286.0
Associated_660a522d,0.0,New,Partner Referrals ,0.05,5.0,False,False,0.0,False,1.0,,,2024-07-26 11:29:00,0.0,262.0
Associated_96e45f3e,9000.0,New,Opportunity,0.2,,False,False,0.0,False,1.0,,2024-08-01 14:12:00,2024-07-19 15:44:00,139.0,269.0
Associated_bc76522f,0.0,New,Partner Referrals ,0.05,5.0,False,False,0.0,False,1.0,,,2024-04-22 16:00:00,0.0,357.0
Associated_39395c58,0.0,New,Partner Referrals ,0.05,5.0,False,False,0.0,False,1.0,,,2024-04-22 16:00:00,0.0,357.0
Associated_884a370d,0.0,New,Partner Referrals ,0.05,4.0,False,False,0.0,False,1.0,,,2024-04-22 16:00:00,0.0,357.0
Associated_5cb40ec4,0.0,New,Partner Referrals ,0.05,9.0,False,False,0.0,False,1.0,,,,0.0,
Associated_d427bd07,0.0,New,Partner Referrals ,0.05,4.0,False,False,0.0,False,1.0,,,2024-04-18 13:39:00,0.0,361.0
Associated_51341cd5,30000.0,New,BANT Deal. Pain ID'ed,0.1,5.0,False,False,0.0,False,1.0,,2024-12-20 14:38:00,2025-01-24 08:14:00,281.0,80.0
Associated_60459aba,5000.0,PS,Closed Won,1.0,,True,False,1.0,True,0.0,,2024-05-09 16:45:00,2024-10-17 11:21:00,56.0,179.0
Associated_e9ec1ccd,24000.0,New,Closed Lost,0.0,,False,True,1.0,True,0.0,,2025-01-06 21:52:00,2024-12-17 15:35:00,298.0,118.0
Associated_00871505,6000.0,PS,Closed Won,1.0,,True,False,1.0,True,0.0,,2024-03-11 17:47:00,2024-03-12 13:00:00,0.0,398.0
Associated_9867b6b9,20000.0,New,Closed Lost,0.0,,False,True,1.0,True,0.0,,2024-09-19 14:58:00,2024-08-19 17:26:00,196.0,238.0
Associated_5c7bbbdc,3600.0,New,Closed Lost,0.0,,False,True,1.0,True,0.0,,2024-08-15 11:19:00,2024-08-13 11:23:00,160.0,244.0
Associated_95fba57c,0.0,New,Closed Lost,0.0,,False,True,1.0,True,0.0,,2024-11-11 12:43:00,2024-10-25 08:15:00,249.0,171.0
Associated_19af168e,380000.0,New,Closed Won,1.0,,True,False,1.0,True,0.0,,2024-06-17 09:42:00,2024-07-18 13:24:00,102.0,270.0
Associated_0abc6455,15000.0,New,Closed Lost,0.0,,False,True,1.0,True,0.0,,2024-08-13 10:34:00,2024-08-13 10:32:00,160.0,244.0
Associated_da884e18,12000.0,New,Closed Lost,0.0,,False,True,1.0,True,0.0,,2024-04-26 15:23:00,2024-04-22 10:33:00,51.0,357.0
Associated_33af9cf7,0.0,Renewal,Closed Lost,0.0,,False,True,1.0,True,0.0,,2024-08-06 09:33:00,2024-10-22 09:29:00,167.0,174.0
Associated_d5d73b63,8640.0,New,Closed Won,1.0,,True,False,1.0,True,0.0,2025-05-01,2024-05-08 09:18:00,2024-05-08 09:26:00,78.0,341.0
Associated_59133a58,12600.0,New,Closed Lost,0.0,,False,True,1.0,True,0.0,,2024-07-19 09:35:00,2024-07-17 13:00:00,155.0,271.0
